"Sample Name"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[standard volume]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[sample volume]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"MS Assay Name"	"Raw Spectral Data File"	"Comment[Data Repository]"	"Comment[Data Record Accession]"	"Factor Value[limiting nutrient]"	"Term Source REF"	"Term Accession Number"	"Factor Value[rate]"	"Unit"	"Term Source REF"	"Term Accession Number"
"G-0.1-aliquot3"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.1-aliquot3"	"JIC105_GlucoseO2_0.10_External_3_1"	"JIC105_GlucoseO2_0.10_External_3_1.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.1"	"l/hr"	""	""
"G-0.2-aliquot1"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.2-aliquot1"	"JIC106_GlucoseO2_0.20_External_1_1"	"JIC106_GlucoseO2_0.20_External_1_1.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.2"	"l/hr"	""	""
"G-0.2-aliquot2"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.2-aliquot2"	"JIC107_GlucoseO2_0.20_External_2_1"	"JIC107_GlucoseO2_0.20_External_2_1.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.2"	"l/hr"	""	""
"G-0.2-aliquot3"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.2-aliquot3"	"JIC108_GlucoseO2_0.20_External_3_1"	"JIC108_GlucoseO2_0.20_External_3_1.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.2"	"l/hr"	""	""
"E-0.07-aliquot4"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"E-0.07-aliquot4"	"JIC91_Ethanol_0.07_External_1_1"	"JIC91_Ethanol_0.07_External_1_1.txt"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"0.07"	"l/hr"	""	""
"E-0.07-aliquot4"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"E-0.07-aliquot4"	"JIC91_Ethanol_0.07_External_1_2"	"JIC91_Ethanol_0.07_External_1_2.txt"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"0.07"	"l/hr"	""	""
"E-0.07-aliquot4"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"E-0.07-aliquot4"	"JIC91_Ethanol_0.07_External_1_3"	"JIC91_Ethanol_0.07_External_1_3.txt"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"0.07"	"l/hr"	""	""
"E-0.07-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"E-0.07-aliquot5"	"JIC92_Ethanol_0.07_External_2_1"	"JIC92_Ethanol_0.07_External_2_1.txt"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"0.07"	"l/hr"	""	""
"E-0.07-aliquot6"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"E-0.07-aliquot6"	"JIC93_Ethanol_0.07_External_3_1"	"JIC93_Ethanol_0.07_External_3_1.txt"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"0.07"	"l/hr"	""	""
"E-0.1-aliquot4"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"E-0.1-aliquot4"	"JIC94_Ethanol_0.10_External_1_1"	"JIC94_Ethanol_0.10_External_1_1.txt"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"0.1"	"l/hr"	""	""
"E-0.1-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"E-0.1-aliquot5"	"JIC95_Ethanol_0.10_External_2_1"	"JIC95_Ethanol_0.10_External_2_1.txt"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"0.1"	"l/hr"	""	""
"E-0.1-aliquot6"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"E-0.1-aliquot6"	"JIC96_Ethanol_0.10_External_3_1"	"JIC96_Ethanol_0.10_External_3_1.txt"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"0.1"	"l/hr"	""	""
